Regulator Name	Regulator Type	Regulator Subtype	Regulator HGNC Symbol	Regulator Database	Regulator ID	Regulator Compartment	Regulator Compartment ID	Regulated Name	Regulated Type	Regulated Subtype	Regulated HGNC Symbol	Regulated Database	Regulated ID	Regulated Compartment	Regulated Compartment ID	Sign	Connection Type	Mechanism	Site	Cell Line	Cell Type	Tissue Type	Organism	Score	Source	Statements	Paper IDs	
SLAMF7	Protein				Q9NQ25			CD19	Protein			uniprot	P15391			positive	I	NONE			cl:CL:0000787 ++++ cl:CL:0000786 ++++ cl:CL:0000236					At present , many targets of MM CAR-T therapy are being studied , such as BCMA , kappa light chain , SLAMF7 , GPRC5D , activated integrin β 7 , CD19 , CD138 , etc. ( 15 ) .	PMC8637449	
ZAP-70	Protein				P43403	plasma membrane	go:0005886	VAV-1	Protein			uniprot	P15498	plasma membrane	go:0005886	positive	D	Phosphorylation		uaz:UA-CLine-100047						We and others have shown that ZAP-70 phosphorylates SLP-76 at residues Y-113 and Y-128 for binding to the guanine nucleotide exchange factor ( GEF ) , VAV-1 and another adaptor NCK ( Bubeck Wardenburg et al ., 1996 ; Raab et al ., 1997 , 2001 ; Michel et al ., 1998 ; Rudd and Raab , 2003 ) .	PMC8005572	
ZAP-70	Protein				P43403	plasma membrane	go:0005886	VAV-1	Protein			uniprot	P15498	plasma membrane	go:0005886	positive	D	Phosphorylation		uaz:UA-CLine-100047						We and others have shown that ZAP-70 phosphorylates SLP-76 at residues Y-113 and Y-128 for binding to the guanine nucleotide exchange factor ( GEF ) , VAV-1 and another adaptor NCK ( Bubeck Wardenburg et al ., 1996 ; Raab et al ., 1997 , 2001 ; Michel et al ., 1998 ; Rudd and Raab , 2003 ) .	PMC8005572	
SIGLEC9	Protein				Q9Y336	Other	sl-0162	MUC1	Protein			uniprot	P15941	Other	sl-0162	negative	I	NONE			cl:CL:0001063 ++++ cl:CL:0000763		uberon:UBERON:0000178 ++++ uberon:UBERON:0000105			Ono et al. have proposed that soluble SIGLEC9 ( sSIGLEC9 ) competitively inhibits the binding of MUC1 to the receptor SIGLEC9 , thus conferring an antitumor benefit against MUC1 expressing tumors .	PMC10246440	
ZAP-70	Protein				P43403	plasma membrane	go:0005886	NCK	Protein			uniprot	P16333	plasma membrane	go:0005886	positive	D	Phosphorylation		uaz:UA-CLine-100047						We and others have shown that ZAP-70 phosphorylates SLP-76 at residues Y-113 and Y-128 for binding to the guanine nucleotide exchange factor ( GEF ) , VAV-1 and another adaptor NCK ( Bubeck Wardenburg et al ., 1996 ; Raab et al ., 1997 , 2001 ; Michel et al ., 1998 ; Rudd and Raab , 2003 ) .	PMC8005572	
ZAP-70	Protein				P43403	plasma membrane	go:0005886	NCK	Protein			uniprot	P16333	plasma membrane	go:0005886	positive	D	Phosphorylation		uaz:UA-CLine-100047						We and others have shown that ZAP-70 phosphorylates SLP-76 at residues Y-113 and Y-128 for binding to the guanine nucleotide exchange factor ( GEF ) , VAV-1 and another adaptor NCK ( Bubeck Wardenburg et al ., 1996 ; Raab et al ., 1997 , 2001 ; Michel et al ., 1998 ; Rudd and Raab , 2003 ) .	PMC8005572	
FoxP3	Protein				B7ZLG1			CTLA-4	Protein			uniprot	P16410			positive	I	Amount								Lentiviral overexpression of FoxP3 in CD4 T cells from RA patients induces increased levels of CD25 and CTLA-4 and decreased levels of CD127 and TNF-alpha [ 17 ] .	PMC9522664	
FoxP3	Protein				B7ZLG1.t			CTLA-4	Protein			uniprot	P16410			positive	I	Amount								Lentiviral overexpression of FoxP3 in CD4 T cells from RA patients induces increased levels of CD25 and CTLA-4 and decreased levels of CD127 and TNF-alpha [ 17 ] .	PMC9522664	
CD55	Protein				P08174	Other	sl-0162 ++++ go:go:0001772	CD	Protein			uniprot	P16410	Other	sl-0162 ++++ go:go:0001772	negative	I	Amount			cl:CL:0000990 ++++ cl:CL:0000911 ++++ cl:CL:0000623 ++++ cl:CL:0000499 ++++ cl:CL:0000863 ++++ cl:CL:0000542					CDC impairment can be caused by the upregulation of complement inhibitors CD55 and CD59 , which reduces daratumumab induced , complement dependent cytotoxicity due to increased levels of CD 55 and CD 59 , which is another mechanism of resistance [ 57 ] .	PMC9820921	
CTLA4	Protein				P16410			Tc	Protein			uniprot	P08174			negative	I	NONE			cl:CL:0000910 ++++ cl:CL:0001064					Therefore , CTLA4 inhibition would cause the activation of Tc cells against cancer cells .	PMC10002487	
p56	Protein				P09914	Other	go:0005886 ++++ uniprot:sl-0310	CTLA-4	Protein			uniprot	P16410	Other	go:0005886 ++++ uniprot:sl-0310	positive	D	Phosphorylation			cl:CL:0000084		uberon:UBERON:0001638			In this vein , we showed that p56 and p59 phosphorylate the cytoplasmic tails of CD28 and CTLA-4 ( Rudd and Schneider , 2003 ; Rudd et al ., 2009 ; Figure 3B ) .	PMC8005572	
CD59	Protein				P13987	Other	sl-0162 ++++ go:go:0001772	CD	Protein			uniprot	P16410	Other	sl-0162 ++++ go:go:0001772	negative	I	Amount			cl:CL:0000990 ++++ cl:CL:0000911 ++++ cl:CL:0000623 ++++ cl:CL:0000499 ++++ cl:CL:0000863 ++++ cl:CL:0000542					CDC impairment can be caused by the upregulation of complement inhibitors CD55 and CD59 , which reduces daratumumab induced , complement dependent cytotoxicity due to increased levels of CD 55 and CD 59 , which is another mechanism of resistance [ 57 ] .	PMC9820921	
PD-L1	Protein				Q9NZQ7			CTLA-4	Protein			uniprot	P16410			negative	I	NONE			mesh:D018414 ++++ cl:CL:0000084 ++++ cl:CL:0001064 ++++ cl:CL:0000010					Furthermore , scFv PD-L1 antibody decreased the expression of T cell exhaustion markers PD-1 , TIM-3 , and CTLA-4 in xenograft tumor models in vivo but not in cultured cells in vitro , suggesting that additional mechanisms are underlying the regulation of PD-1 , TIM-3 , and CTLA-4 expression in the TME .	PMC9961031	
FoxP3	Protein				B7ZLG1.t			CD127	Protein			uniprot	P16871			negative	I	Amount			cl:CL:0000815 ++++ cl:CL:0000911 ++++ mesh:D015496		uberon:UBERON:0001090 ++++ uberon:UBERON:0007616			Lentiviral overexpression of FoxP3 in CD4 T cells from RA patients induces increased levels of CD25 and CTLA-4 and decreased levels of CD127 and TNF-alpha [ 17 ] .	PMC9522664	
TOX	Protein				O94900.t			CD127	Protein			uniprot	P16871			negative	I	Transcription		cellosaurus:CVCL_E778	mesh:D018414 ++++ cl:CL:0000084		uberon:UBERON:0002371			PD-1 + - and CD39 + TIGIT + CD73 - CD8 + T cells exhibited additional features of exhaustion by decreased expression of CD127 and TCF-1 and increased intracellular expression of the transcription factor TOX .	PMC8218695	
JUN	Other				JUN_family.t			JUNB	Protein			uniprot	P17275			negative	I	Amount			cl:CL:0000084 ++++ cl:CL:0000499					Consistently , FF CAR-iT cells upregulated JUN expression and downregulated the expression levels of BATF , BATF3 , IRF4 , and JUNB compared with CAR T cells .	PMC9973402	
HLA-G	Protein				P17693	Other	sl-0310 ++++ uniprot:sl-0487	CART	Protein			uniprot	Q16568	Other	sl-0310 ++++ uniprot:sl-0487	positive	I	NONE		cellosaurus:CVCL_0006	cl:CL:0001063 ++++ cl:CL:0000084					HLA-G antibody clone 87G in our experimental system was inadequate to fully reverse the inhibitory effect on CART .	PMC8227123	
CART	Protein				Q16568			HLA-G	Protein			uniprot	P17693			positive	I	NONE			cl:CL:0000623 ++++ cl:CL:0000084 ++++ cl:CL:0001063 ++++ cl:CL:0000542					In previous work in EwS , we found that tumor xenografts in response to adoptive therapy with G -redirected CAR NK cells or CART strongly upregulate the nonclassical MHC class I molecule HLA-G [ 6,26 ] .	PMC8227123	
FLT3	Protein				P36888			FLT	Protein			uniprot	P17948			positive	I	NONE			cl:CL:0000084					Beyond the upregulation of NKG2DLs , FLT3 upregulation in FLT AML cells following gilteritinib treatment was also found .	PMC8896098	
PTP1B	Protein				P18031			TNF	Protein			uniprot	P01375			negative	I	NONE			cl:CL:0000738 ++++ cl:CL:0000084 ++++ mesh:D018414 ++++ cl:CL:0000911					Irrespective , we found that the deletion or inhibition of PTP1B enhanced the antigen induced expansion and activation of na ï ve T cells and the cytotoxicity of effector CD8 T cells to inhibit the growth of syngeneic tumors .	PMC8904293	
TNF	Protein				P01375			PTP1B	Protein			uniprot	P18031			positive	I	Transcription			mesh:D018414 ++++ cl:CL:0000084 ++++ cl:CL:0001063 ++++ cl:CL:0000738		uberon:UBERON:0002106			Previous studies have shown that PTP1B expression can be induced by the inflammatory cytokine TNF and via the recruitment of NF κ B to the PTPN1 promoter ( 45 ) .	PMC8904293	
GPC3	Protein				P51654	Other	sl-0039	BMP-7	Protein			uniprot	P18075	Other	sl-0039	negative	I	NONE		cellosaurus:CVCL_M543	cl:CL:0000235 ++++ cl:CL:0001063		uberon:UBERON:0000922			Besides , GPC3 can negatively regulate bone morphogenesis protein 7 ( BMP-7 ) to modulate cell proliferation ( Midorikawa et al ., 2003 ; Chen et al ., 2018 ) .	PMC8296838	
CARs	Protein				P49589			PD-1	Protein			uniprot	P18621			positive	I	Transcription			cl:CL:0000084					Importantly , in these long-term cultures , in contrast to CARs carrying the CD28 domain , CARs carrying the 4-1BB costimulatory domain did not induce the expression of exhaustion maker PD-1 .	PMC7865760	
CARs	Protein				P49589	Other	sl-0431	PD-1	Protein			uniprot	P18621	Other	sl-0431	negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813 ++++ cl:CL:0000898		uberon:UBERON:0000178 ++++ uberon:UBERON:0002405			In addition , armored CAR-T cells include a CAR with co-expression of both CD28 and 4-1BB in the costimulatory domain , IL-18 secreting CARs to induce enhanced proliferation and prolonged persistence , PD-1 blocking scFv secreting CARs , IL-18 secreting CARs , and CARs including CD40 ligand to stimulate anti-tumor response [ 165 ] .	PMC8198014	
P4	Protein				Q01780			PD-1	Protein			uniprot	P18621			negative	I	NONE		cellosaurus:CVCL_6353	cl:CL:0000084					Considering that eliminating PD-1 might induce autoimmune responses , we knocked out the TRAC gene to reduce the potential risk .	PMC8429583	
CD4	Protein				P01730			Lag-3	Protein			uniprot	P18627			negative	I	Transcription			cl:CL:0000236 ++++ mesh:D015496 ++++ cl:CL:0000545 ++++ cl:CL:0000084 ++++ cl:CL:0000813		uberon:UBERON:0002048			This suggests that TLR2 engagement on cells has the potential to directly trigger effector function.44 TLR2 engagement on chronically activated mouse Th1 cells has also been shown to play a role in the reinvigoration of exhausted T-cells during chronic infection.67 On engagement of TLR2 on chronically activated Th1 cells , CD4 T-cells significantly alter expression of T-bet , IFN-γ , IL-2 and the antiapoptotic molecule Bcl-2 , reduce expression of PD-1 and Lag-3 , and exhibit an enhanced ability to activate B-cells .	PMC8606765	
G-CSF	Protein				P09919			LAG-3	Protein			uniprot	P18627			positive	I	Amount			cl:CL:0001063 ++++ uaz:UAZ54C2A063656C6C73 ++++ cl:CL:0000084 ++++ cl:CL:0011026					In addition , levels of checkpoint molecules PD-1 , LAG-3 , TIM-3 , and TIGIT were not augmented by G-CSF ; indeed , TIM-3 expression was reduced on CD8 cells ( Figure 2F ) .	PMC9271987	
IL-15	Protein				P40933			LAG-3	Protein			uniprot	P18627			negative	I	Transcription			cl:CL:0000084					ARI2h IL-15 Cells Have Reduced Expression of LAG-3 and Augmented Levels of CD27 Compared to ARI2h IL-2 .	PMC8304527	
CART	Protein				Q16568			LAG3	Protein			uniprot	P18627			negative	I	NONE		cellosaurus:CVCL_0092	cl:CL:0000084					Dasatinib significantly protected CART cells from CD3 / CD28 signaling induced apoptosis , differentiation and high expression of inhibitory receptors ( eg.PD1 and LAG3 ) ( Fig. 2a – g ) .	PMC8293573	
LAG-3	Protein				P18627			PD-L1	Protein			uniprot	Q9NZQ7			negative	I	NONE			cl:CL:0001063					Taube et al. demonstrated geographic restriction of PD-L1 and LAG-3 positive tumor cells and non tumor cells at the tumor border of metastatic melanoma [ 32 ] .	PMC9351179	
PD-L1	Protein				Q9NZQ7			LAG-3	Protein			uniprot	P18627			positive	I	NONE			cl:CL:0000084					Saleh et al. reported that the co-inhibition of PD-1 and PD-L1 further upregulated LAG-3 and TIM-3 in T-cells and T when co-cultured with TNBC cells , but not with other breast cancer cell lines [ 64 ] .	PMC7761500	
CD138	Protein				P18827	Other	sl-0162	BCMA	Protein			uniprot	Q02223	Other	sl-0162	negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000910 ++++ cl:CL:0000623		uberon:UBERON:0000104			Since BCMA or BCMA relapse were observed in CAR-T trials , dual targeting CAR or combined two CARs binding to BCMA and other MM related antigens including CD19 , CD138 , and SLAMF7 are also under development , aiming to reduce the risk of low or lost BCMA expression related relapse ( antigen escape relapse ) [ 59 ] .	PMC7352710	
BCMA	Protein				Q02223			CD138	Protein			uniprot	P18827			positive	I	NONE			cl:CL:0000787 ++++ cl:CL:0000786 ++++ cl:CL:0000236					At present , many targets of MM CAR-T therapy are being studied , such as BCMA , kappa light chain , SLAMF7 , GPRC5D , activated integrin β 7 , CD19 , CD138 , etc. ( 15 ) .	PMC8637449	
SLAMF7	Protein				Q9NQ25			CD138	Protein			uniprot	P18827			positive	I	NONE			cl:CL:0000787 ++++ cl:CL:0000786 ++++ cl:CL:0000236					At present , many targets of MM CAR-T therapy are being studied , such as BCMA , kappa light chain , SLAMF7 , GPRC5D , activated integrin β 7 , CD19 , CD138 , etc. ( 15 ) .	PMC8637449	
ITK	Protein				Q08881	Other	sl-0039	PLCg1	Protein			uniprot	P19174	Other	sl-0039	positive	D	Phosphorylation			cl:CL:0000084					As mentioned , once it is activated , ITK phosphorylates PLCg1 and the mobilization of calcium .	PMC8005572	
ITK	Protein				Q08881	Other	sl-0039	PLCg1	Protein			uniprot	P19174	Other	sl-0039	positive	D	Phosphorylation			cl:CL:0000084					As mentioned , once it is activated , ITK phosphorylates PLCg1 and the mobilization of calcium .	PMC8005572	
GS	Protein				P15104	Other	sl-0162	NF-kB	Protein			uniprot	P19838	Other	sl-0162	positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000786					Gamma secretase ( GS ) cleaves BCMA from the plasma cell membrane resulting in a reduction of BCMA mediated NF-kB activation .	PMC9439649	
BCMA	Protein				Q02223	Other	sl-0162	NF-kB	Protein			uniprot	P19838	Other	sl-0162	negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000786					Gamma secretase ( GS ) cleaves BCMA from the plasma cell membrane resulting in a reduction of BCMA mediated NF-kB activation .	PMC9439649	
BCMA	Protein				Q02223	Other	sl-0162	NF-kB	Protein			uniprot	P19838	Other	sl-0162	positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000786					Gamma secretase ( GS ) cleaves BCMA from the plasma cell membrane resulting in a reduction of BCMA mediated NF-kB activation .	PMC9439649	
TRAF2	Protein				Q12933			NF-kB	Protein			uniprot	P19838			positive	I	NONE			cl:CL:0000084					Here , we found that tonic CAR derived 4-1BB signaling can produce toxicity in T cells via continuous TRAF2 dependent activation of the NF-kB pathway and augmented Fas dependent cell death .	PMC5645034	
SMAC	Protein				Q9NR28			NFkB	Protein			uniprot	P19838			positive	I	NONE		cellosaurus:CVCL_0372	mesh:D015496 ++++ cl:CL:0000784					Therefore , alternative strategies have been proposed , including use of either the SMAC mimetics that activate the non canonical nuclear factor kB ( NFkB ) pathway ( 54 ) or the toll like receptor 7 ( TLR-7 ) agonists that mediate activation of HIV specific CTLs ( 57 ) .	PMC9098815	
Vav	Other				VAV			NF-kB	Protein			uniprot	P19838			positive	I	NONE		uaz:UA-CLine-100047	cl:CL:0000738					Vav cooperates with CD28 to induce NF-kB activation via a pathway involving Rac-1 and mitogen activated kinase ( Marinari et al ., 2002 ) .	PMC8005572	
CD28	Protein				P10747			PI 3	Protein			uniprot	P19957			positive	I	NONE			mesh:D018414 ++++ cl:CL:0000084					Chimeric Antigen Receptors Combining 4-1BB and CD28 Signaling Domains Augment PI 3 kinase/AKT/Bcl-X L Activation and CD8 + T Cell mediated Tumor Eradication .	PMC2839303	
CD123	Protein				P26951	Other	sl-0487	CD33	Protein			uniprot	P20138	Other	sl-0487	negative	I	Amount		cellosaurus:CVCL_8824 ++++ cellosaurus:CVCL_9491	cl:CL:0000084		uberon:UBERON:0004529 ++++ uberon:UBERON:0000104			In another study , triNbCAR ‐ T cells targeting CD33 , CD123 , and CLL1 tumor antigens could exhibit cytolytic activity equal to or greater than their monospecific counterparts and high levels of IFN-γ and IL-2 cytokines when exposed to CD33 or CD123 only tumors , whereas they produced lower levels of these cytokines when exposed to CLL only tumors ( 84 ) .	PMC9905824	
BiTE	Protein				Q8NHQ1			CD33	Protein			uniprot	P20138			negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063					T cells with CD33 / CD3-bispecific BiTE antibody construct have been proved to eliminate CD33 MDSCs while against AML blasts [ 89 ] .	PMC7603553	
BiKE	Protein				Q9NSY1			CD33	Protein			uniprot	P20138			positive	I	NONE		cellosaurus:CVCL_0002 ++++ cellosaurus:CVCL_0095	cl:CL:0000623 ++++ cl:CL:2000001					CD16xCD33 BiKE enhances allogeneic NK cell effector functions against CD33 hi HL60 and CD33 lo SEM targets and also against primary ALL and AML targets .	PMC8571204	
CD22	Protein				P20273			CD19	Protein			uniprot	P15391			positive	I	NONE		atcc:CCL-86 ++++ cellosaurus:CVCL_0092						For CD19 modulation in Raji , CD22 CAR-T induced CD19 down-modulation irrespective of bryostatin treatment .	PMC8864095	
CD19	Protein				P15391	Other	sl-0310	CD22	Protein			uniprot	P20273	Other	sl-0310	negative	I	Transcription			cl:CL:0000084					Thus , CD19 ( − ) escape variants downregulate but not altogether eliminate CD20 and CD22 cell surface expression .	PMC7519582	
CD22	Protein				P20273			CD19	Protein			uniprot	P15391			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000084					The experiment in vitro indicated that the sequential addition of the CD19 and CD22 CAR-T cells significantly promoted the amplification of the prior CD19 CAR-T cells , and also contributed to tumor killing capacity .	PMC8279746	
CD22	Protein				P20273			CD19	Protein			uniprot	P15391			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000236					Tandem and sequential CD19 / CD22 dual-target CAR T-cell therapies have been developed to reduce the possibility of CD19 negative relapse ; however , the superior strategy is still uncertain .	PMC10125987	
CD19	Protein				P15391			CD22	Protein			uniprot	P20273			negative	I	Transcription			uaz:UAZ42E2808963656C6C73 ++++ uaz:UAZ54E2808963656C6C73 ++++ uaz:UAZ54E2808963656C6C ++++ uaz:UAZ42E2808963656C6C					For instance , one patient who had mixed CD19 positive and -negative disease at treatment relapsed with CD19- and CD22-double negative disease , suggesting that the CD19 negative subclone outgrew and then modulated CD22 expression .	PMC8516648	
CD19	Protein				P15391.d			CD22	Protein			uniprot	P20273			positive	I	Transcription			cl:CL:0000084					Briefly , patient 2 relapsed after cell therapy through an acquired tumor resistance mechanism ( loss of CD19 and diminished expression of CD22 to a level below the threshold needed to elicit anti-tumor functions ) .	PMC7126394	
CAR-T	Protein				Q16568			CD22	Protein			uniprot	P20273			positive	I	NONE		atcc:CCL-86 ++++ cellosaurus:CVCL_0092						CD22 down-modulation by CAR-T was essentially reversed by bryostatin within 24 hours , indicating a long-term dominant effect that resolved within a week .	PMC8864095	
CAR-T	Protein				Q16568			CD22	Protein			uniprot	P20273			negative	I	Transcription		cellosaurus:CVCL_0092 ++++ atcc:CCL-86						Overall , co-incubation with CAR-T decreases CD22 and CD19 surface antigen expression on leukemia cells surviving CD22 CAR-T co-culture .	PMC8864095	
PD-L1	Protein				Q9NZQ7			CD22	Protein			uniprot	P20273			negative	I	NONE			cl:CL:0001063 ++++ cl:CL:0000084 ++++ cl:CL:0000813					Meanwhile , PD-L1 suppresses CD22 CAR-T cell differentiation into memory T cells and negatively affected secretions of several essential cytokines , such as interleukin-2 ( IL-2 ) and tumor necrosis factor ( TNF )-alpha .	PMC9149589	
TOX	Protein				O94900.t			TCF-1	Protein			uniprot	P20823			negative	I	Transcription		cellosaurus:CVCL_E778	mesh:D018414 ++++ cl:CL:0000084		uberon:UBERON:0002371			PD-1 + - and CD39 + TIGIT + CD73 - CD8 + T cells exhibited additional features of exhaustion by decreased expression of CD127 and TCF-1 and increased intracellular expression of the transcription factor TOX .	PMC8218695	
NR4A3	Protein				Q92570			TCF1	Protein			uniprot	P20823			positive	I	NONE			cl:CL:0000084		uberon:UBERON:0002367			PRDM1 / NR4A3 dual KO enhances in vivo CAR T-cell antitumor activity by preserving TCF1 + CD8 T-cells and increasing effector functions ..	PMC10257143	
CD28	Protein				P10747			CD3z	Protein			uniprot	P20963			positive	I	NONE			cl:CL:0000084					We also reconfirm that , as previously found with a second generation PSMA specific CD28 / CD3z based CAR , the CD28 based CAR triggers less IL-2 secretion than a CD3 based CAR simultaneously stimulated with CD80 upon first exposure to antigen [ 13 ] .	PMC4482147	
NF-kB	Protein				P19838			p65	Protein			uniprot	P21579			negative	I	Transcription			cl:CL:0001063 ++++ cl:CL:0000084					NSAIDs Hamper the NF-kB Pathway via Decreasing CD27 and p-NF-kB p65 Expression .	PMC8189155	
R-848	Chemical				159603			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813 ++++ mesh:D015496					In the absence of APCs , the TLR2 ligand Pam3CSK4 , the TLR5 ligand flagellin , and the TLR7/8 ligand R-848 , can all enhance proliferation and the production of IFN-γ , IL-8 , and IL-10 in human CD4 T-cells .	PMC8606765	
Gal-9	Protein				O00182			IL-10	Protein			uniprot	P22301			positive	I	NONE		cellosaurus:CVCL_3755 ++++ cellosaurus:CVCL_0004	cl:CL:0000623 ++++ cl:CL:0001064		uaz:UA-ORG-92 ++++ uberon:UBERON:0001977			Although we found that Gal-9 treatment significantly increased the production of IFN-γ , IL-6 , and IL-10 in a dose dependent manner , the higher lectin level markedly inhibited the in vitro cytotoxic activity of the ABS cultivated effector NK cells against the target K562 cell line .	PMC8391477	
TLR5	Protein				O60602			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813 ++++ mesh:D015496					In the absence of APCs , the TLR2 ligand Pam3CSK4 , the TLR5 ligand flagellin , and the TLR7/8 ligand R-848 , can all enhance proliferation and the production of IFN-γ , IL-8 , and IL-10 in human CD4 T-cells .	PMC8606765	
TLR2	Protein				O60603			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813 ++++ mesh:D015496					In the absence of APCs , the TLR2 ligand Pam3CSK4 , the TLR5 ligand flagellin , and the TLR7/8 ligand R-848 , can all enhance proliferation and the production of IFN-γ , IL-8 , and IL-10 in human CD4 T-cells . ++++ In na ï ve human CD4 T-cells , both adult and neonatal , TLR2 engagement has been shown to enhance the production of IL-2 and key Th1 cytokines , while simultaneously reducing the production of suppressive IL-10 .	PMC8606765	
NPs	Protein				P0C0P6			IL-10	Protein			uniprot	P22301			negative	I	NONE		cellosaurus:CVCL_W397	cl:CL:0000235					To another target , tumour associated macrophages , the anti-PD-L1 was used along with the amphiphilic diblock copolymers poly ( mannopyranoside / galactopyranoside methacrylate )-block-polystyrene NPs that upregulated the immunostimulatory IL-12 and downregulated immunosuppressive IL-10 , arginase 1 and CCL22 .	PMC9006034	
CD28	Protein				P10747			IL-10	Protein			uniprot	P22301			positive	I	NONE		cellosaurus:CVCL_M654	cl:CL:0000084					CD28 can promote the production of IL-2 , IL-6 , IL-10 , and interleukins in addition to enhanced apoptosis , cell cycle progression , cellular metabolism survival , and differentiation [ 28 ] .	PMC9599749	
CD28	Protein				P10747			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000815					It is , however , worth noting that CD28 CAR-Tregs produced significantly more IL-10 than 4-1BB CAR-Tregs and untransduced Tregs , in line with transcriptomic data ( Fig. 4f ) .	PMC8575891	
CD28	Protein				P10747			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084					Abrogation of CD28-zeta CAR induced IL-2 release by CD28 mutation did not reduce IL-10 secretion indicating that IL-10 can be induced by both a CD28 and an IL-2 mediated pathway .	PMC3382912	
CD28	Protein				P10747			IL-10	Protein			uniprot	P22301			negative	I	Amount					uberon:UBERON:0002367			A combination of CD28 co-stimulation with OX40 in G3 CAR-T cells also reduced the level of IL-10 compared to CD28 G2 CAR-T cells and prevented the auto-repression of CAR-T cells [ 68,69,70,71 ] . ++++ Correspondingly , a combination of CD28 co-stimulation with OX40 in G3 CAR-T cells directed against carcinoembryonic antigen ( CEA ) reduced the level of IL-10 compared to CD28 G2 CAR-T cells and prevented the auto-repression of CAR-T cells [ 68,69,70,71 ] .	PMC8773791	
HL	Protein				P11150	Other	sl-0039	IL10	Protein			uniprot	P22301	Other	sl-0039	positive	I	NONE			cl:CL:0000084 ++++ mesh:D018414 ++++ cl:CL:0001064					Indeed , HL malignant cells express high levels of PDL1 and produce the immunosuppressive IL10 , TGF β , galectin 1 and prostaglandin E2 molecules , which inhibit T-cell effector functions and induce apoptosis of activated Th1 and CD8 T cells .	PMC8018158	
C5aR1	Protein				P21730			IL-10	Protein			uniprot	P22301			negative	I	NONE			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0000097 ++++ mesh:D018414 ++++ cl:CL:0000084					Accordingly , antagonism to C3aR and C5aR1 , but not to a single receptor , suppresses tumor growth and the antitumor effect depends on IL-10 in vivo ( 11 ) .	PMC6658873	
Gata3	Protein				P23771			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000815 ++++ cl:CL:0000910					Gata3 knock-out murine T cells generated via CRISPR / Cas9 mediated genome editing showed enhanced capacity for the production of IFN-γ and IL-2 while less Gata3 knock-out T cells produced IL-10 ex vivo in a B16-F10 melanoma model [ 50 ] .	PMC7885876	
Axl	Protein				P30530			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063					We further showed the therapeutic potential of Axl scFv by designing a functional Axl synNotch receptor that can produce IL-10 when activated by Axl+ tumor cells .	PMC5832765	
IL-13	Protein				P35225			IL-10	Protein			uniprot	P22301			positive	I	NONE		cellosaurus:CVCL_M543	cl:CL:0000235		uberon:UBERON:0000479 ++++ uberon:UBERON:0000105			Alternative ( M2 ) activated macrophages following exposure to IL-4 or IL-13 produce IL-10 , promoting tissue repair , wound healing , and tumor growth [ [ 43 ] , [ 44 ] , [ 45 ] , [ 46 ] ] .	PMC7773537	
OX40	Protein				P43489			IL-10	Protein			uniprot	P22301			negative	I	Amount					uberon:UBERON:0002367			A combination of CD28 co-stimulation with OX40 in G3 CAR-T cells also reduced the level of IL-10 compared to CD28 G2 CAR-T cells and prevented the auto-repression of CAR-T cells [ 68,69,70,71 ] . ++++ Correspondingly , a combination of CD28 co-stimulation with OX40 in G3 CAR-T cells directed against carcinoembryonic antigen ( CEA ) reduced the level of IL-10 compared to CD28 G2 CAR-T cells and prevented the auto-repression of CAR-T cells [ 68,69,70,71 ] . ++++ More importantly , OX40 G2 CAR-T cells produced significantly lower levels of IL-10 , a potent anti-inflammatory molecule detected in high levels in the tumor micro-environment that can repress anti-cancer responses ( as reviewed in [ 69 ] ) . ++++ As described above , tuning CAR-T may also help modify the TME , with OX40 G2 CAR-T cells producing significantly lower levels of the anti-inflammatory molecule IL-10 than CD28 G2 CAR-T cells .	PMC8773791	
IL-2	Protein				P60568			IL-10	Protein			uniprot	P22301			negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000815					IL-2 induced IL-10 was also repressed by OX40 co-signaling .	PMC3382912	
IL-2	Protein				P60568			IL-10	Protein			uniprot	P22301			positive	I	NONE			cl:CL:0000084 ++++ mesh:D015496					Abrogation of CD28-zeta CAR induced IL-2 release by CD28 mutation did not reduce IL-10 secretion indicating that IL-10 can be induced by both a CD28 and an IL-2 mediated pathway . ++++ Taken together , IL-2 in the context of ζ CAR signaling induced IL-10 which is not the case in presence of OX40 costimulation .	PMC3382912	
